category,name,name_1,formula,message,oid,expiry_time,ename,obj_id,name_2,enum,descr_1
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN1 Down,(result('o_20935') == 'down') or (result('o_20935') == 'die'),WAN1 state returned a value that was not 'UP'.  Please check for issues affecting the gwdetect link status for WAN1,Traffic_Status_W1,180,GWdetect WAN2 Down - Paradies,20935,Traffic Status_W1,,WAN 2 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN1 Recovered,(result('o_20935') == 'up') and active(a_2574),WAN1 state returned a value that was 'UP',Traffic_Status_W1,0,WAN1 Down,20935,Traffic Status_W1,,WAN 2 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN1 Recovered,(result('o_20935') == 'up') and active(a_2574),WAN1 state returned a value that was 'UP',Traffic_Status_W1,180,GWdetect WAN2 Down - Paradies,20935,Traffic Status_W1,,WAN 2 State
Capacity,EMC: VNX File System Capacity Performance,EMC: VNX File System Utilization Returned to Normal,"(result(0 if o_14751 == 0 else round((o_14751 - o_14750) * 100.0/ o_14751, 2)) < threshold(t_524)) and (active(a_2029) or active(a_2030))",File system utilization has returned to normal below %T%.,smis.query://Celerra_UxfsLocalFileSystem/AvailableSpace,90,EMC: VNX file system utilization critical threshold exceeded,14750,AvailableSpace,,The available space on the filesystem in bytes.
Capacity,EMC: VNX File System Capacity Performance,EMC: VNX File System Utilization Returned to Normal,"(result(0 if o_14751 == 0 else round((o_14751 - o_14750) * 100.0/ o_14751, 2)) < threshold(t_524)) and (active(a_2029) or active(a_2030))",File system utilization has returned to normal below %T%.,smis.query://Celerra_UxfsLocalFileSystem/FileSystemSize,90,EMC: VNX file system utilization critical threshold exceeded,14751,FileSystemSize,,The size of the filesystem in bytes.
Performance,EMC: VNX Array Configuration,EMC: VNX array status has returned to normal,o_14527 == 5 and active(a_2456) or o_14527 == 5 and active(a_2457),VNX array status has returned to normal.,smis.query://Clar_ArrayChassis/HealthState?filter=Tag;unique=Tag,90,EMC: VNX statistics logging Interval has exceeded threshold,14527,Health State,0:Unknown#5:OK#10:Degraded/Warning#15:Minor failure#20:Major failure#25:Critical failure#30:Non-recoverable error#,Indicates the current health of the array.
Performance,EMC: VNX Storage Processor Configuration,EMC: VNX Storage Processor health status has returned to normal,o_14612 == 5 and active(a_2469) or o_14612 == 5 and active(a_2468),VNX Storage Processor health status has returned to normal.,"SMIS://Clar_SpCard/HealthState/filter=Tag,unique=Tag",90,EMC: VNX storage processor health status is degraded,14612,Health Status,0:Unknown#5:OK#10:Degraded/Warning#15:Minor failure#20:Major failure#25:Critical failure#30:Non-recoverable error#,The current health of the element.
Environmental,EMC: VNX Enclosure Configuration,EMC: VNX enclosure health status has returned to normal,o_14698 == 5 and active(a_2484) or o_14698 == 5 and active(a_2485),VNX Enclosure health status has returned to normal.,smis.associate://Clar_EnclosureChassis/HealthState?filter=Tag;unique=ElementName,90,EMC: VNX power supply status is critical,14698,Health State,0:Unknown#5:OK#10:Degraded/Warning#15:Minor failure#20:Major failure#25:Critical failure#30:Non-recoverable error#,Indicates the current health of the element.
Environmental,Dell OpenManage: Status,Dell Power Supply Redundancy is Normal,o_2389 == 3 and (active(a_495) or active(a_494)),Dell Power Supply Redundancy is Normal,.1.3.6.1.4.1.674.10892.1.200.10.1.6,90,Dell: OpenManage Virtual Disk Status is Degraded,2389,Power Supply Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0006 This attribute defines the combined redundancy status of all power units of this chassis.
Environmental,Dell OpenManage: Status,Dell Power Supply Redundancy is Degraded,o_2389 == 4,Dell: Power Supply Redundancy is Degraded,.1.3.6.1.4.1.674.10892.1.200.10.1.6,90,Dell: OpenManage Virtual Disk Status is Degraded,2389,Power Supply Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0006 This attribute defines the combined redundancy status of all power units of this chassis.
Environmental,Dell OpenManage: Status,Dell Power Supply Redundancy has been Lost,o_2389 == 5,Dell: Power Supply Redundancy has been Lost,.1.3.6.1.4.1.674.10892.1.200.10.1.6,90,Dell: OpenManage Virtual Disk Status is Degraded,2389,Power Supply Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0006 This attribute defines the combined redundancy status of all power units of this chassis.
Environmental,Dell OpenManage: Status,Dell Voltage Status  is Critical,o_2391 == 5,Dell: Voltage Status  is Critical,.1.3.6.1.4.1.674.10892.1.200.10.1.12,90,Dell: OpenManage Virtual Disk Status is Degraded,2391,Overall Voltage Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0012 This attribute defines the combined status of all voltage probes of this chassis.
Environmental,Dell OpenManage: Status,Dell Voltage Status is Normal,o_2391 == 5 and active(a_497),Dell Voltage Status is Normal,.1.3.6.1.4.1.674.10892.1.200.10.1.12,90,Dell: OpenManage Virtual Disk Status is Degraded,2391,Overall Voltage Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0012 This attribute defines the combined status of all voltage probes of this chassis.
Environmental,Dell OpenManage: Status,Dell Fan Redundancy is Normal,o_2392 == 3 and (active(a_500) or active(a_499)),Dell Fan Redundancy is Normal,.1.3.6.1.4.1.674.10892.1.200.10.1.18,90,Dell: OpenManage Virtual Disk Status is Degraded,2392,Fan Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0018 This attribute defines the combined redundancy status of all cooling units of this chassis.
Environmental,Dell OpenManage: Status,Dell Fan Redundancy is Degraded,o_2392 == 4,Dell: Fan Redundancy is Degraded,.1.3.6.1.4.1.674.10892.1.200.10.1.18,90,Dell: OpenManage Virtual Disk Status is Degraded,2392,Fan Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0018 This attribute defines the combined redundancy status of all cooling units of this chassis.
Environmental,Dell OpenManage: Status,Dell Fan Redundancy has been Lost,o_2392 == 5,Dell: Fan Redundancy has been Lost,.1.3.6.1.4.1.674.10892.1.200.10.1.18,90,Dell: OpenManage Virtual Disk Status is Degraded,2392,Fan Redundancy,1:other#2:unknown#3:full#4:degraded#5:lost#6:notRedundant#7:redundancyOffline#,0200.0010.0001.0018 This attribute defines the combined redundancy status of all cooling units of this chassis.
Environmental,Dell OpenManage: Status,Dell Temperature Status is Normal,o_2393 == 3 and active(a_502),Dell Temperature Status is Normal,.1.3.6.1.4.1.674.10892.1.200.10.1.24,90,Dell: OpenManage Virtual Disk Status is Degraded,2393,Overall Temperature Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0024 This attribute defines the combined status of all temperature probes of this chassis.
Environmental,Dell OpenManage: Status,Dell Temperature Status is Critical,o_2393 == 5,Dell: Temperature Status is Critical,.1.3.6.1.4.1.674.10892.1.200.10.1.24,90,Dell: OpenManage Virtual Disk Status is Degraded,2393,Overall Temperature Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0024 This attribute defines the combined status of all temperature probes of this chassis.
Environmental,Dell OpenManage: Status,Dell Memory Status is Normal,o_2394 == 3 and active(a_504),Dell Memory Status is Normal,.1.3.6.1.4.1.674.10892.1.200.10.1.27,90,Dell: OpenManage Virtual Disk Status is Degraded,2394,Overall Memory Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0027 This attribute defines the combined status of all memory devices of this chassis.
Environmental,Dell OpenManage: Status,Dell Memory Status is Critical,o_2394 == 5,Dell: Memory Status is Critical,.1.3.6.1.4.1.674.10892.1.200.10.1.27,90,Dell: OpenManage Virtual Disk Status is Degraded,2394,Overall Memory Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0200.0010.0001.0027 This attribute defines the combined status of all memory devices of this chassis.
Environmental,Dell OpenManage: Status,Dell DMA Status is Normal,o_2398 == 3 and active(a_506),Dell DMA Status is Normal,.1.3.6.1.4.1.674.10892.1.500.60.1.5,90,Dell: OpenManage Virtual Disk Status is Degraded,2398,DMA Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0500.0060.0001.0005 This attribute defines the status of the system resource DMA.
Environmental,Dell OpenManage: Status,Dell DMA Status is Critical,o_2398 == 5,Dell: DMA Status is Critical,.1.3.6.1.4.1.674.10892.1.500.60.1.5,90,Dell: OpenManage Virtual Disk Status is Degraded,2398,DMA Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0500.0060.0001.0005 This attribute defines the status of the system resource DMA.
Environmental,Dell OpenManage: Status,Dell BIOS Status is Normal,o_2399 == 3 and active(a_508),Dell BIOS Status is Normal,.1.3.6.1.4.1.674.10892.1.300.50.1.5,90,Dell: OpenManage Virtual Disk Status is Degraded,2399,Overall BIOS Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0300.0050.0001.0005 This attribute defines the status of the system BIOS.
Environmental,Dell OpenManage: Status,Dell BIOS Status is Critical,o_2399 == 5,Dell: BIOS Status is Critical,.1.3.6.1.4.1.674.10892.1.300.50.1.5,90,Dell: OpenManage Virtual Disk Status is Degraded,2399,Overall BIOS Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,0300.0050.0001.0005 This attribute defines the status of the system BIOS.
Environmental,Dell OpenManage: Status,Dell SCSI Controller is Normal,o_2400 == 3 and active(a_510),Dell SCSI Controller is Normal,.1.3.6.1.4.1.674.10893.1.20.130.1.1.37,90,Dell: OpenManage Virtual Disk Status is Degraded,2400,Controller RollUp Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,Severity of the controller state. This is the combined status of the controller and its components. Possible values: 1: Other 2: Unknown 3: OK 4: Non-critical 5: Critical 6: Non-recoverable
Environmental,Dell OpenManage: Status,Dell SCSI Controller is Critical,o_2400 == 5,Dell: OpenManage SCSI Controller Status is now Critical,.1.3.6.1.4.1.674.10893.1.20.130.1.1.37,90,Dell: OpenManage Virtual Disk Status is Degraded,2400,Controller RollUp Status,1:other#2:unknown#3:ok#4:nonCritical#5:critical#6:nonRecoverable#,Severity of the controller state. This is the combined status of the controller and its components. Possible values: 1: Other 2: Unknown 3: OK 4: Non-critical 5: Critical 6: Non-recoverable
Environmental,Dell OpenManage: Status,Dell Virtual Disk is Ready,o_2401 == 1 and (active(a_490) or active(a_491) or active(a_492)),Dell Virtual Disk is Ready,.1.3.6.1.4.1.674.10893.1.20.140.1.1.4,90,Dell: OpenManage Virtual Disk Status is Degraded,2401,Virtual Disk Status,1:ready#2:failed#3:online#4:offline#6:degraded#7:verifying#15:resynching#18:failedRedundancy#24:rebuilding#26:formatting#32:reconstructing#35:initializing#50:backgroundInitialization#,The current state of this virtual disk. Possible states: 0: Unknown 1: Ready - The disk is accessible and has no known problems. 2: Failed - Access has been lost to the data or is about to be lost. 3: Online 4: Offline - The disk is not accessible. The disk may be corrupted or intermittently unavailable. 6: Degraded - The data on the virtual disk is no longer fault tolerant because one of the underlying disks is not online. 15: Resynching 24: Rebuilding 26: Formatting 32: Reconstructing 35: Initializing 50: Background Initialization
Environmental,Dell OpenManage: Status,Dell Virtual Disk Status is now Rebuilding,o_2401 == 24,Dell: Virtual Disk Status is now Rebuilding,.1.3.6.1.4.1.674.10893.1.20.140.1.1.4,90,Dell: OpenManage Virtual Disk Status is Degraded,2401,Virtual Disk Status,1:ready#2:failed#3:online#4:offline#6:degraded#7:verifying#15:resynching#18:failedRedundancy#24:rebuilding#26:formatting#32:reconstructing#35:initializing#50:backgroundInitialization#,The current state of this virtual disk. Possible states: 0: Unknown 1: Ready - The disk is accessible and has no known problems. 2: Failed - Access has been lost to the data or is about to be lost. 3: Online 4: Offline - The disk is not accessible. The disk may be corrupted or intermittently unavailable. 6: Degraded - The data on the virtual disk is no longer fault tolerant because one of the underlying disks is not online. 15: Resynching 24: Rebuilding 26: Formatting 32: Reconstructing 35: Initializing 50: Background Initialization
Environmental,Dell OpenManage: Status,Dell Virtual Disk Status is Degraded,o_2401 == 6,Dell: Virtual Disk Status is Degraded,.1.3.6.1.4.1.674.10893.1.20.140.1.1.4,90,Dell: OpenManage Virtual Disk Status is Degraded,2401,Virtual Disk Status,1:ready#2:failed#3:online#4:offline#6:degraded#7:verifying#15:resynching#18:failedRedundancy#24:rebuilding#26:formatting#32:reconstructing#35:initializing#50:backgroundInitialization#,The current state of this virtual disk. Possible states: 0: Unknown 1: Ready - The disk is accessible and has no known problems. 2: Failed - Access has been lost to the data or is about to be lost. 3: Online 4: Offline - The disk is not accessible. The disk may be corrupted or intermittently unavailable. 6: Degraded - The data on the virtual disk is no longer fault tolerant because one of the underlying disks is not online. 15: Resynching 24: Rebuilding 26: Formatting 32: Reconstructing 35: Initializing 50: Background Initialization
Environmental,Dell OpenManage: Status,Dell Virtual Disk Status is now Resynching,o_2401 ==15,Dell: Virtual Disk Status is now Resynching,.1.3.6.1.4.1.674.10893.1.20.140.1.1.4,90,Dell: OpenManage Virtual Disk Status is Degraded,2401,Virtual Disk Status,1:ready#2:failed#3:online#4:offline#6:degraded#7:verifying#15:resynching#18:failedRedundancy#24:rebuilding#26:formatting#32:reconstructing#35:initializing#50:backgroundInitialization#,The current state of this virtual disk. Possible states: 0: Unknown 1: Ready - The disk is accessible and has no known problems. 2: Failed - Access has been lost to the data or is about to be lost. 3: Online 4: Offline - The disk is not accessible. The disk may be corrupted or intermittently unavailable. 6: Degraded - The data on the virtual disk is no longer fault tolerant because one of the underlying disks is not online. 15: Resynching 24: Rebuilding 26: Formatting 32: Reconstructing 35: Initializing 50: Background Initialization
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = NORMAL,"o_2421 == 1 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0 and (active(a_516) or active(a_518) or active(a_517) or active(a_515))",Dell: PowerConnect Power Supply %V State = NORMAL,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.3,90,Dell: PowerConnect Global Status is now Critical,2421,State,1:normal#2:warning#3:critical#4:shutdown#5:notPresent#6:notFunctioning#,The mandatory  state of the power supply being instrumented.
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = NORMAL,"o_2421 == 1 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0 and (active(a_516) or active(a_518) or active(a_517) or active(a_515))",Dell: PowerConnect Power Supply %V State = NORMAL,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.4,90,Dell: PowerConnect Global Status is now Critical,2422,Source,1:unknown#2:ac#3:dc#4:externalPowerSupply#5:internalRedundant#,The power supply source. unknown - Power supply source unknown ac      - AC power supply dc      - DC power supply externalPowerSupply - External power supply internalRedundant - Internal redundant power supply
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = WARNING,"o_2421 == 2 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = WARNING,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.3,90,Dell: PowerConnect Global Status is now Critical,2421,State,1:normal#2:warning#3:critical#4:shutdown#5:notPresent#6:notFunctioning#,The mandatory  state of the power supply being instrumented.
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = WARNING,"o_2421 == 2 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = WARNING,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.4,90,Dell: PowerConnect Global Status is now Critical,2422,Source,1:unknown#2:ac#3:dc#4:externalPowerSupply#5:internalRedundant#,The power supply source. unknown - Power supply source unknown ac      - AC power supply dc      - DC power supply externalPowerSupply - External power supply internalRedundant - Internal redundant power supply
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = CRITICAL,"o_2421 == 3 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = CRITICAL,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.3,90,Dell: PowerConnect Global Status is now Critical,2421,State,1:normal#2:warning#3:critical#4:shutdown#5:notPresent#6:notFunctioning#,The mandatory  state of the power supply being instrumented.
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = CRITICAL,"o_2421 == 3 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = CRITICAL,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.4,90,Dell: PowerConnect Global Status is now Critical,2422,Source,1:unknown#2:ac#3:dc#4:externalPowerSupply#5:internalRedundant#,The power supply source. unknown - Power supply source unknown ac      - AC power supply dc      - DC power supply externalPowerSupply - External power supply internalRedundant - Internal redundant power supply
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = SHUTDOWN,"o_2421 == 4 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = SHUTDOWN,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.3,90,Dell: PowerConnect Global Status is now Critical,2421,State,1:normal#2:warning#3:critical#4:shutdown#5:notPresent#6:notFunctioning#,The mandatory  state of the power supply being instrumented.
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = SHUTDOWN,"o_2421 == 4 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = SHUTDOWN,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.4,90,Dell: PowerConnect Global Status is now Critical,2422,Source,1:unknown#2:ac#3:dc#4:externalPowerSupply#5:internalRedundant#,The power supply source. unknown - Power supply source unknown ac      - AC power supply dc      - DC power supply externalPowerSupply - External power supply internalRedundant - Internal redundant power supply
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = NOT FUNCTIONING,"o_2421 == 6 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = NOT FUNCTIONING,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.3,90,Dell: PowerConnect Global Status is now Critical,2421,State,1:normal#2:warning#3:critical#4:shutdown#5:notPresent#6:notFunctioning#,The mandatory  state of the power supply being instrumented.
Environmental,Dell PowerConnect: Status,Dell: PowerConnect Power Supply State = NOT FUNCTIONING,"o_2421 == 6 and result(o_2422, enums={1: 'unknown', 2: 'ac', 3: 'dc', 4: 'externalPowerSupply', 5: 'internalRedundant'}) > 0",Dell: PowerConnect Power Supply %L State = NOT FUNCTIONING,.1.3.6.1.4.1.674.10895.3000.1.2.110.7.2.1.4,90,Dell: PowerConnect Global Status is now Critical,2422,Source,1:unknown#2:ac#3:dc#4:externalPowerSupply#5:internalRedundant#,The power supply source. unknown - Power supply source unknown ac      - AC power supply dc      - DC power supply externalPowerSupply - External power supply internalRedundant - Internal redundant power supply
